molecule,atom,nombre,Hyd,Mol,Pol,Gas,Ab-R2,Ab-pi2H,Ab-sumA2H,Ab-sumB2H,Ab-sumB20,total
CHEMBL5271361,19,C,-0.059443037606518805,-5.3011289568836206e-05,-0.031566180675237476,-1.3849178960903252,5.376216661275047,-5.047981097554611,0.0,1.1473174842751248,0.0,0.29521868479091506
CHEMBL5271361,20,C,-0.07218625034127976,-7.803918994438562e-05,-0.025026541312122716,-0.7251543180386792,2.790023169563024,-2.616627347301175,0.0,0.6070742691033231,0.0,0.2536707049401506
CHEMBL5271361,21,C,-0.07586205330872535,-0.0003706353173138626,-0.04117788990653874,-0.8569383247350164,3.2483569834685637,-3.0126202958357604,0.004223634948463626,0.7282863128252711,-0.024370965224562363,0.26517252937138636
CHEMBL5271361,22,C,-0.07848299777190314,-0.0013033731374687333,-0.06351291274014986,-1.75291492874722,6.792025561407379,-6.297828864859927,0.029567185156971293,1.5428625260568687,0.0,0.4660579578215547
CHEMBL5271361,23,C,-0.03666793399545666,-0.00010893372188533624,-0.013871474997272197,-0.36960488063835306,1.3954192709008562,-1.309359583193381,0.004223634948463626,0.31589388058085693,0.0,0.2815697423408332
CHEMBL5271361,24,C,0.10577068544326149,-0.004776025920940386,-0.030383570381517566,-2.408242417258175,9.353078858989914,-9.000953526545732,-0.005470259440135821,2.344305256386208,0.0,0.6489747637298859
CHEMBL5271361,25,O,0.004195230801985021,-0.00013373899123278693,-0.005354038135181607,-0.45640082392462533,1.7375621064984585,-1.7035510253124588,-0.07569652049220188,0.47960716117251323,-0.27925064319811044,-0.0033765291238493367
CHEMBL5267203,1,O,0.004856783939979524,-4.1736639914753844e-05,-0.0022531809403480707,-0.43769288862368416,1.4887547772895435,-1.447037533717027,0.24306268170005071,0.4821771353811704,-0.4914811320286743,0.13599066881810085
CHEMBL5267203,2,C,-0.2905816468457518,-0.0010423209031392019,0.02578794674192353,-2.0259245856361794,7.900269625117409,-7.657095864130106,0.1395481424849453,2.038673933583868,0.0,0.42528099286997434
CHEMBL5267203,3,C,-0.1416256348487076,-0.000530286124087853,0.006663164401622623,-1.3900014476199951,5.461822930952273,-5.413543253022395,0.02534355020850767,1.4151342033729821,-0.024370965224562363,0.2345380245526433
CHEMBL5267203,4,C,-0.28162606858599065,-0.0009741326497611422,0.015803462289086356,-2.1780217834528663,8.627534554095819,-8.545794213488177,0.13990184590427476,2.2909545777384817,0.0,0.3634240043078709
CHEMBL5267203,5,O,0.004856783939979523,-4.0306096247329554e-05,-0.0032705647450114728,-0.4424310040902515,1.5443848787482954,-1.5231889265524177,0.2440451643564216,0.43609664686329097,-0.16348855838143916,0.3926098764996253
CHEMBL5267203,6,C,-0.10022980125229478,-0.001777054755886513,0.06545463982347055,-3.343944732657695,13.498319084323189,-13.37710431154453,0.03801445505389854,3.62652419190464,0.0,0.7009022333517936
CHEMBL5267203,7,C,-0.0943141899247462,-0.001058657056033955,0.0922955381891033,-2.9995223311137504,12.288574156564216,-12.098263934461981,0.033790820105434924,3.3255621041924366,0.0,0.8427092689516842
